customer_id,spending_band,typical_amount,amount_std,preferred_merchant_ids,preferred_categories,typical_device_ids,typical_location,hour_profile,typical_hour_start,typical_hour_end,txns_per_week
C0117,low,543.08,190.08,"[""M0078"", ""M0008"", ""M0002"", ""M0047"", ""M0037""]","[""Healthcare"", ""Entertainment"", ""Utilities""]","[""D00174"", ""D00175"", ""D00176""]",Bangalore,night_owl,21,24,3.0
C0118,low,874.54,306.09,"[""M0090"", ""M0123"", ""M0122"", ""M0012"", ""M0149""]","[""Fashion"", ""Food Delivery"", ""Electronics""]","[""D00177"", ""D00178""]",Hyderabad,night_owl,21,24,6.9
C0119,medium,1094.66,383.13,"[""M0075"", ""M0081"", ""M0079"", ""M0107""]","[""Travel"", ""Fashion""]","[""D00179"", ""D00180""]",Pune,lunch_shopper,12,15,1.1
C0120,low,620.92,217.32,"[""M0012"", ""M0121"", ""M0146"", ""M0031"", ""M0079""]","[""Electronics"", ""Travel""]","[""D00181"", ""D00182""]",Delhi,night_owl,21,24,5.4
C0121,medium,1474.87,516.2,"[""M0124"", ""M0005"", ""M0046"", ""M0039"", ""M0073"", ""M0084"", ""M0030""]","[""Fuel"", ""Food Delivery"", ""E-commerce""]","[""D00183""]",Kolkata,lunch_shopper,12,15,1.5
C0122,low,263.22,92.13,"[""M0082"", ""M0027"", ""M0003"", ""M0115"", ""M0068"", ""M0008"", ""M0047"", ""M0014""]","[""Fuel"", ""Entertainment"", ""Healthcare"", ""Utilities""]","[""D00184"", ""D00185""]",Bangalore,lunch_shopper,12,15,10.3
C0123,high,3836.63,1342.82,"[""M0085"", ""M0054"", ""M0036"", ""M0079"", ""M0081"", ""M0075"", ""M0109""]","[""Food Delivery"", ""Travel"", ""Grocery""]","[""D00186""]",Bangalore,evening_shopper,18,22,2.6
C0124,low,592.38,207.33,"[""M0109"", ""M0063"", ""M0145"", ""M0106"", ""M0115"", ""M0076""]","[""Grocery"", ""Utilities"", ""Healthcare""]","[""D00187"", ""D00188""]",Bangalore,evening_shopper,18,22,8.2
C0125,high,5289.56,1851.35,"[""M0133"", ""M0094"", ""M0012"", ""M0077"", ""M0054"", ""M0123"", ""M0085""]","[""Grocery"", ""Electronics"", ""Utilities"", ""Food Delivery""]","[""D00189""]",Bangalore,night_owl,21,24,2.2
C0126,low,582.74,203.96,"[""M0051"", ""M0071"", ""M0059"", ""M0097"", ""M0008"", ""M0069""]","[""Fuel"", ""Healthcare"", ""E-commerce""]","[""D00190"", ""D00191""]",Kolkata,night_owl,21,24,6.1
C0127,low,319.12,111.69,"[""M0095"", ""M0055"", ""M0002"", ""M0009"", ""M0140"", ""M0110"", ""M0112""]","[""Entertainment"", ""E-commerce"", ""Utilities"", ""Grocery""]","[""D00192""]",Delhi,morning_person,7,11,0.9
C0128,low,403.72,141.3,"[""M0078"", ""M0067"", ""M0101"", ""M0088"", ""M0091"", ""M0090"", ""M0023""]","[""Healthcare"", ""Fuel"", ""Travel"", ""Fashion""]","[""D00193""]",Mumbai,morning_person,7,11,8.2
C0129,low,540.92,189.32,"[""M0081"", ""M0134"", ""M0150"", ""M0135"", ""M0120""]","[""Travel"", ""Grocery"", ""Electronics""]","[""D00194""]",Ahmedabad,lunch_shopper,12,15,8.8
C0130,low,450.02,157.51,"[""M0068"", ""M0021"", ""M0097"", ""M0095"", ""M0038""]","[""Healthcare"", ""Entertainment""]","[""D00195""]",Ahmedabad,morning_person,7,11,3.3
C0131,low,542.84,189.99,"[""M0108"", ""M0046"", ""M0017"", ""M0079""]","[""Food Delivery"", ""Entertainment"", ""Travel""]","[""D00196""]",Delhi,night_owl,21,24,1.6
C0132,low,571.24,199.93,"[""M0037"", ""M0137"", ""M0032"", ""M0034"", ""M0099"", ""M0115"", ""M0132"", ""M0113""]","[""Utilities"", ""Fuel"", ""Healthcare"", ""Grocery""]","[""D00197"", ""D00198""]",Delhi,night_owl,21,24,3.6
C0133,high,6045.34,2115.87,"[""M0003"", ""M0055"", ""M0102"", ""M0067"", ""M0051"", ""M0027""]","[""Entertainment"", ""Fuel""]","[""D00199""]",Mumbai,lunch_shopper,12,15,2.4
C0134,medium,1511.56,529.05,"[""M0033"", ""M0075"", ""M0081"", ""M0060""]","[""Grocery"", ""Travel""]","[""D00200"", ""D00201"", ""D00202""]",Chennai,lunch_shopper,12,15,6.6
C0135,medium,1524.32,533.51,"[""M0091"", ""M0082"", ""M0054"", ""M0044"", ""M0123"", ""M0133"", ""M0022"", ""M0132""]","[""Fashion"", ""Fuel"", ""Food Delivery"", ""Grocery""]","[""D00203""]",Chennai,lunch_shopper,12,15,1.7
C0136,low,975.28,341.35,"[""M0002"", ""M0114"", ""M0003"", ""M0140"", ""M0034"", ""M0082"", ""M0029"", ""M0113"", ""M0004"", ""M0127""]","[""Entertainment"", ""Utilities"", ""Fuel"", ""Grocery""]","[""D00204"", ""D00205"", ""D00206""]",Hyderabad,evening_shopper,18,22,4.5
C0137,low,940.07,329.02,"[""M0068"", ""M0021"", ""M0016"", ""M0070"", ""M0136"", ""M0127"", ""M0117""]","[""Healthcare"", ""Fashion"", ""Grocery""]","[""D00207"", ""D00208""]",Pune,lunch_shopper,12,15,1.7
C0138,medium,1431.85,501.15,"[""M0051"", ""M0059"", ""M0027"", ""M0125"", ""M0126""]","[""Fuel"", ""Utilities""]","[""D00209"", ""D00210""]",Chennai,morning_person,7,11,6.5
C0139,low,383.02,134.06,"[""M0019"", ""M0036"", ""M0043"", ""M0078""]","[""Electronics"", ""Food Delivery"", ""Healthcare""]","[""D00211""]",Kolkata,night_owl,21,24,2.0
C0140,low,671.68,235.09,"[""M0124"", ""M0106""]","[""Fuel"", ""Utilities""]","[""D00212"", ""D00213"", ""D00214""]",Mumbai,night_owl,21,24,0.5
C0141,low,545.95,191.08,"[""M0076"", ""M0068"", ""M0025"", ""M0094"", ""M0007"", ""M0148""]","[""Healthcare"", ""E-commerce"", ""Electronics""]","[""D00215""]",Delhi,evening_shopper,18,22,10.9
C0142,low,584.88,204.71,"[""M0043"", ""M0054"", ""M0030"", ""M0084"", ""M0053"", ""M0013"", ""M0112""]","[""Healthcare"", ""Food Delivery"", ""E-commerce"", ""Grocery""]","[""D00216"", ""D00217""]",Kolkata,morning_person,7,11,6.5
C0143,low,331.6,116.06,"[""M0005"", ""M0059"", ""M0134"", ""M0081"", ""M0101""]","[""Fuel"", ""Travel""]","[""D00218""]",Delhi,morning_person,7,11,10.7
C0144,low,481.99,168.7,"[""M0133"", ""M0110"", ""M0029""]","[""Grocery"", ""Fuel""]","[""D00219""]",Chennai,night_owl,21,24,2.7
C0145,medium,885.42,309.9,"[""M0030"", ""M0084"", ""M0058"", ""M0055"", ""M0010"", ""M0086""]","[""E-commerce"", ""Entertainment""]","[""D00220"", ""D00221"", ""D00222""]",Mumbai,lunch_shopper,12,15,8.2
C0146,low,535.23,187.33,"[""M0034"", ""M0071"", ""M0051"", ""M0072"", ""M0114"", ""M0055"", ""M0143"", ""M0103"", ""M0127"", ""M0074""]","[""Fuel"", ""Entertainment"", ""Grocery"", ""Food Delivery""]","[""D00223"", ""D00224""]",Hyderabad,evening_shopper,18,22,4.1
C0147,low,305.42,106.9,"[""M0106"", ""M0050"", ""M0140"", ""M0122"", ""M0046"", ""M0036"", ""M0058"", ""M0024"", ""M0062""]","[""Utilities"", ""Food Delivery"", ""E-commerce""]","[""D00225""]",Kolkata,night_owl,21,24,2.0
C0148,low,532.62,186.42,"[""M0136"", ""M0053"", ""M0024"", ""M0135"", ""M0048"", ""M0076"", ""M0078""]","[""Fashion"", ""E-commerce"", ""Electronics"", ""Healthcare""]","[""D00226""]",Bangalore,night_owl,21,24,4.2
C0149,medium,1482.63,518.92,"[""M0069"", ""M0058"", ""M0052"", ""M0038"", ""M0010"", ""M0147"", ""M0105"", ""M0074"", ""M0054"", ""M0085""]","[""E-commerce"", ""Entertainment"", ""Fashion"", ""Food Delivery""]","[""D00227""]",Kolkata,lunch_shopper,12,15,3.5
C0150,medium,1347.62,471.67,"[""M0081"", ""M0079"", ""M0085"", ""M0074"", ""M0123"", ""M0147"", ""M0091""]","[""Travel"", ""Food Delivery"", ""Fashion""]","[""D00228"", ""D00229""]",Hyderabad,evening_shopper,18,22,0.7
C0151,low,510.86,178.8,"[""M0075"", ""M0081"", ""M0103"", ""M0032"", ""M0083"", ""M0104"", ""M0041"", ""M0099"", ""M0068""]","[""Travel"", ""Grocery"", ""Utilities"", ""Healthcare""]","[""D00230"", ""D00231""]",Hyderabad,lunch_shopper,12,15,4.8
C0152,low,677.31,237.06,"[""M0122"", ""M0079"", ""M0146"", ""M0031"", ""M0125"", ""M0049"", ""M0140"", ""M0007""]","[""Food Delivery"", ""Travel"", ""Utilities"", ""Electronics""]","[""D00232""]",Chennai,morning_person,7,11,9.1
C0153,low,544.41,190.54,"[""M0026"", ""M0043"", ""M0097"", ""M0120"", ""M0130"", ""M0114"", ""M0030"", ""M0028""]","[""Healthcare"", ""Electronics"", ""Entertainment"", ""E-commerce""]","[""D00233""]",Delhi,morning_person,7,11,1.8
C0154,medium,1532.2,536.27,"[""M0014"", ""M0045"", ""M0096"", ""M0016""]","[""Utilities"", ""Fashion""]","[""D00234""]",Bangalore,night_owl,21,24,9.2
C0155,medium,2746.89,961.41,"[""M0054"", ""M0064"", ""M0009"", ""M0030""]","[""Food Delivery"", ""E-commerce""]","[""D00235"", ""D00236"", ""D00237""]",Chennai,evening_shopper,18,22,10.2
C0156,low,362.81,126.98,"[""M0134"", ""M0081"", ""M0060"", ""M0077"", ""M0099"", ""M0130"", ""M0065""]","[""Travel"", ""Utilities"", ""Healthcare"", ""Electronics""]","[""D00238""]",Delhi,lunch_shopper,12,15,2.7
C0157,low,598.01,209.3,"[""M0123"", ""M0080"", ""M0122"", ""M0105"", ""M0018"", ""M0116"", ""M0003"", ""M0010"", ""M0102""]","[""Food Delivery"", ""Fashion"", ""Entertainment""]","[""D00239""]",Delhi,night_owl,21,24,8.3
C0158,high,4315.23,1510.33,"[""M0025"", ""M0058"", ""M0074"", ""M0054""]","[""E-commerce"", ""Food Delivery""]","[""D00240"", ""D00241""]",Delhi,morning_person,7,11,2.5
C0159,low,676.9,236.91,"[""M0093"", ""M0070"", ""M0069"", ""M0062"", ""M0138"", ""M0065"", ""M0135""]","[""Fashion"", ""E-commerce"", ""Electronics""]","[""D00242""]",Mumbai,morning_person,7,11,0.5
C0160,medium,1931.05,675.87,"[""M0066"", ""M0136"", ""M0088"", ""M0101"", ""M0146""]","[""Fuel"", ""Fashion"", ""Travel""]","[""D00243""]",Delhi,night_owl,21,24,3.0
C0161,medium,2323.21,813.12,"[""M0142"", ""M0107"", ""M0131"", ""M0007"", ""M0108"", ""M0046"", ""M0123""]","[""Fashion"", ""Utilities"", ""Electronics"", ""Food Delivery""]","[""D00244""]",Ahmedabad,lunch_shopper,12,15,3.5
C0162,low,661.47,231.51,"[""M0068"", ""M0021"", ""M0076"", ""M0138"", ""M0007"", ""M0057"", ""M0142"", ""M0066"", ""M0071""]","[""Healthcare"", ""Electronics"", ""Fashion"", ""Fuel""]","[""D00245""]",Pune,morning_person,7,11,4.3
C0163,medium,888.01,310.8,"[""M0046"", ""M0009"", ""M0006"", ""M0053"", ""M0022"", ""M0133"", ""M0003""]","[""Food Delivery"", ""E-commerce"", ""Grocery"", ""Entertainment""]","[""D00246""]",Mumbai,night_owl,21,24,3.2
C0164,low,491.83,172.14,"[""M0052"", ""M0055"", ""M0089"", ""M0032"", ""M0133"", ""M0056"", ""M0110""]","[""Entertainment"", ""Utilities"", ""Grocery""]","[""D00247""]",Bangalore,morning_person,7,11,4.5
C0165,low,333.17,116.61,"[""M0004"", ""M0081"", ""M0095"", ""M0102"", ""M0059"", ""M0067"", ""M0124""]","[""Grocery"", ""Travel"", ""Entertainment"", ""Fuel""]","[""D00248"", ""D00249""]",Ahmedabad,lunch_shopper,12,15,5.4
C0166,low,354.12,123.94,"[""M0114"", ""M0003"", ""M0002"", ""M0080"", ""M0122"", ""M0036"", ""M0087""]","[""Entertainment"", ""Food Delivery"", ""Fashion""]","[""D00250""]",Mumbai,morning_person,7,11,4.8
C0167,low,483.57,169.25,"[""M0099"", ""M0053""]","[""Healthcare"", ""E-commerce""]","[""D00251""]",Ahmedabad,night_owl,21,24,6.5
C0168,medium,1294.65,453.13,"[""M0028"", ""M0025"", ""M0073"", ""M0038"", ""M0086"", ""M0102""]","[""E-commerce"", ""Entertainment""]","[""D00252""]",Chennai,evening_shopper,18,22,2.2
C0169,medium,1262.59,441.91,"[""M0081"", ""M0146"", ""M0147""]","[""Travel"", ""Fashion""]","[""D00253"", ""D00254""]",Kolkata,lunch_shopper,12,15,1.7
C0170,medium,962.73,336.96,"[""M0101"", ""M0088"", ""M0043"", ""M0115"", ""M0026"", ""M0053"", ""M0024""]","[""Travel"", ""Healthcare"", ""E-commerce""]","[""D00255""]",Ahmedabad,night_owl,21,24,2.9
C0171,low,888.4,310.94,"[""M0036"", ""M0108"", ""M0052"", ""M0072""]","[""Food Delivery"", ""Entertainment""]","[""D00256""]",Ahmedabad,lunch_shopper,12,15,3.4
C0172,medium,1727.41,604.59,"[""M0107"", ""M0018"", ""M0111"", ""M0029"", ""M0001"", ""M0118"", ""M0130""]","[""Fashion"", ""Fuel"", ""Electronics""]","[""D00257"", ""D00258""]",Delhi,morning_person,7,11,7.5
C0173,medium,1431.25,500.94,"[""M0106"", ""M0088""]","[""Utilities"", ""Travel""]","[""D00259""]",Ahmedabad,evening_shopper,18,22,2.8
C0174,medium,1186.87,415.4,"[""M0023"", ""M0139"", ""M0090"", ""M0137"", ""M0145"", ""M0047""]","[""Fashion"", ""Utilities""]","[""D00260""]",Ahmedabad,night_owl,21,24,5.1
C0175,medium,1363.06,477.07,"[""M0082"", ""M0051"", ""M0034"", ""M0074"", ""M0108"", ""M0117"", ""M0033"", ""M0139"", ""M0105"", ""M0087""]","[""Fuel"", ""Food Delivery"", ""Grocery"", ""Fashion""]","[""D00261"", ""D00262""]",Delhi,evening_shopper,18,22,0.5
C0176,low,408.32,142.91,"[""M0037"", ""M0011"", ""M0050"", ""M0119"", ""M0093"", ""M0057""]","[""Utilities"", ""Fashion""]","[""D00263""]",Mumbai,lunch_shopper,12,15,0.5
C0177,low,585.79,205.03,"[""M0140"", ""M0141"", ""M0077"", ""M0139"", ""M0147"", ""M0026"", ""M0099""]","[""Utilities"", ""Fashion"", ""Healthcare""]","[""D00264"", ""D00265"", ""D00266""]",Kolkata,evening_shopper,18,22,4.2
C0178,low,368.09,128.83,"[""M0031"", ""M0146"", ""M0101"", ""M0097"", ""M0114"", ""M0080""]","[""Travel"", ""Healthcare"", ""Entertainment"", ""Food Delivery""]","[""D00267"", ""D00268""]",Delhi,lunch_shopper,12,15,3.5
C0179,medium,914.22,319.98,"[""M0048"", ""M0055"", ""M0038"", ""M0002""]","[""Electronics"", ""Entertainment""]","[""D00269""]",Chennai,night_owl,21,24,3.9
C0180,low,465.88,163.06,"[""M0053"", ""M0006"", ""M0128"", ""M0081"", ""M0146"", ""M0031""]","[""E-commerce"", ""Travel""]","[""D00270"", ""D00271""]",Pune,night_owl,21,24,3.2
C0181,high,4048.2,1416.87,"[""M0019"", ""M0048"", ""M0148"", ""M0125"", ""M0050"", ""M0083""]","[""Electronics"", ""Utilities""]","[""D00272""]",Kolkata,evening_shopper,18,22,1.2
C0182,medium,1580.45,553.16,"[""M0071"", ""M0029"", ""M0098"", ""M0103"", ""M0022""]","[""Fuel"", ""Grocery""]","[""D00273""]",Pune,morning_person,7,11,6.3
C0183,low,491.57,172.05,"[""M0004"", ""M0075"", ""M0060"", ""M0079"", ""M0097"", ""M0042""]","[""Grocery"", ""Travel"", ""Healthcare""]","[""D00274""]",Kolkata,morning_person,7,11,8.8
C0184,high,10019.6,3506.86,"[""M0139"", ""M0091"", ""M0016"", ""M0141""]","[""Fashion"", ""Utilities""]","[""D00275"", ""D00276"", ""D00277""]",Hyderabad,evening_shopper,18,22,6.7
C0185,medium,1084.45,379.56,"[""M0064"", ""M0114"", ""M0059"", ""M0005"", ""M0034"", ""M0131""]","[""E-commerce"", ""Entertainment"", ""Fuel"", ""Utilities""]","[""D00278""]",Delhi,lunch_shopper,12,15,2.9
C0186,low,748.99,262.15,"[""M0075"", ""M0060"", ""M0081"", ""M0051"", ""M0001"", ""M0005"", ""M0098"", ""M0022""]","[""Travel"", ""Fuel"", ""Grocery""]","[""D00279""]",Kolkata,evening_shopper,18,22,1.0
C0187,low,323.9,113.36,"[""M0050"", ""M0104"", ""M0106"", ""M0110"", ""M0059"", ""M0124"", ""M0027"", ""M0064"", ""M0069"", ""M0053""]","[""Utilities"", ""Grocery"", ""Fuel"", ""E-commerce""]","[""D00280"", ""D00281""]",Chennai,morning_person,7,11,5.0
C0188,medium,1290.22,451.58,"[""M0057"", ""M0116"", ""M0138"", ""M0130"", ""M0019"", ""M0101"", ""M0088"", ""M0075""]","[""Fashion"", ""Electronics"", ""Travel""]","[""D00282""]",Kolkata,morning_person,7,11,2.0
C0189,medium,1239.28,433.75,"[""M0026"", ""M0027"", ""M0085"", ""M0108""]","[""Healthcare"", ""Fuel"", ""Food Delivery""]","[""D00283""]",Bangalore,night_owl,21,24,1.6
C0190,low,232.57,81.4,"[""M0071"", ""M0088"", ""M0101"", ""M0031""]","[""Fuel"", ""Travel""]","[""D00284"", ""D00285""]",Pune,evening_shopper,18,22,5.4
C0191,low,458.66,160.53,"[""M0146"", ""M0075"", ""M0088"", ""M0070"", ""M0057""]","[""Travel"", ""Fashion""]","[""D00286""]",Pune,evening_shopper,18,22,1.5
C0192,medium,1589.54,556.34,"[""M0020"", ""M0052"", ""M0120"", ""M0138"", ""M0083""]","[""Entertainment"", ""Electronics"", ""Utilities""]","[""D00287""]",Bangalore,evening_shopper,18,22,4.1
C0193,medium,1720.34,602.12,"[""M0041"", ""M0116"", ""M0137"", ""M0089"", ""M0058"", ""M0030""]","[""Healthcare"", ""Fashion"", ""Utilities"", ""E-commerce""]","[""D00288"", ""D00289""]",Pune,night_owl,21,24,1.4
C0194,medium,2732.57,956.4,"[""M0145"", ""M0047"", ""M0106"", ""M0010"", ""M0052"", ""M0054"", ""M0085"", ""M0079"", ""M0088"", ""M0146""]","[""Utilities"", ""Entertainment"", ""Food Delivery"", ""Travel""]","[""D00290"", ""D00291""]",Delhi,evening_shopper,18,22,9.5
C0195,medium,1213.44,424.7,"[""M0067"", ""M0027"", ""M0082"", ""M0007"", ""M0135"", ""M0120"", ""M0087"", ""M0136"", ""M0093""]","[""Fuel"", ""Electronics"", ""Fashion""]","[""D00292""]",Kolkata,morning_person,7,11,5.0
C0196,high,5345.06,1870.77,"[""M0041"", ""M0010"", ""M0102"", ""M0052"", ""M0039"", ""M0085""]","[""Healthcare"", ""Entertainment"", ""Food Delivery""]","[""D00293""]",Hyderabad,night_owl,21,24,0.5
C0197,medium,1600.25,560.09,"[""M0146"", ""M0060"", ""M0098"", ""M0069"", ""M0030"", ""M0024"", ""M0137"", ""M0014"", ""M0131""]","[""Travel"", ""Grocery"", ""E-commerce"", ""Utilities""]","[""D00294""]",Pune,night_owl,21,24,1.5
C0198,medium,1051.8,368.13,"[""M0100"", ""M0121"", ""M0062"", ""M0144"", ""M0064""]","[""Grocery"", ""Electronics"", ""E-commerce""]","[""D00295""]",Chennai,lunch_shopper,12,15,4.1
C0199,medium,1217.37,426.08,"[""M0008"", ""M0068"", ""M0081"", ""M0003"", ""M0114""]","[""Healthcare"", ""Travel"", ""Entertainment""]","[""D00296""]",Pune,lunch_shopper,12,15,3.5
C0200,medium,1235.72,432.5,"[""M0068"", ""M0021"", ""M0136"", ""M0105"", ""M0061""]","[""Healthcare"", ""Fashion"", ""Utilities""]","[""D00297"", ""D00298""]",Delhi,morning_person,7,11,5.7
C0201,medium,1735.31,607.36,"[""M0009"", ""M0069"", ""M0084"", ""M0111""]","[""E-commerce"", ""Fuel""]","[""D00299"", ""D00300""]",Bangalore,lunch_shopper,12,15,8.6
C0202,low,289.72,101.4,"[""M0114"", ""M0082"", ""M0027"", ""M0113"", ""M0015"", ""M0087""]","[""Entertainment"", ""Fuel"", ""Grocery"", ""Fashion""]","[""D00301""]",Mumbai,night_owl,21,24,1.3
C0203,low,550.78,192.77,"[""M0084"", ""M0073"", ""M0023"", ""M0075"", ""M0088"", ""M0146""]","[""E-commerce"", ""Fashion"", ""Travel""]","[""D00302"", ""D00303""]",Ahmedabad,lunch_shopper,12,15,2.0
C0204,low,570.44,199.65,"[""M0043"", ""M0078"", ""M0115"", ""M0060"", ""M0088"", ""M0075"", ""M0071"", ""M0027""]","[""Healthcare"", ""Travel"", ""Fuel""]","[""D00304""]",Chennai,evening_shopper,18,22,9.3
C0205,high,5438.62,1903.52,"[""M0065"", ""M0010"", ""M0111"", ""M0027"", ""M0053"", ""M0144"", ""M0064""]","[""Electronics"", ""Entertainment"", ""Fuel"", ""E-commerce""]","[""D00305"", ""D00306"", ""D00307""]",Mumbai,lunch_shopper,12,15,2.4
C0206,low,447.85,156.75,"[""M0010"", ""M0055"", ""M0020"", ""M0026"", ""M0104"", ""M0137""]","[""Entertainment"", ""Healthcare"", ""Utilities""]","[""D00308"", ""D00309""]",Hyderabad,morning_person,7,11,2.6
C0207,medium,1614.75,565.16,"[""M0043"", ""M0072"", ""M0095"", ""M0055""]","[""Healthcare"", ""Entertainment""]","[""D00310"", ""D00311""]",Hyderabad,night_owl,21,24,12.1
C0208,medium,1365.04,477.76,"[""M0078"", ""M0049"", ""M0002"", ""M0020""]","[""Healthcare"", ""Utilities"", ""Entertainment""]","[""D00312""]",Kolkata,lunch_shopper,12,15,6.4
C0209,low,267.35,93.57,"[""M0076"", ""M0021"", ""M0078"", ""M0050""]","[""Healthcare"", ""Utilities""]","[""D00313"", ""D00314""]",Mumbai,evening_shopper,18,22,1.3
C0210,low,675.52,236.43,"[""M0043"", ""M0079""]","[""Healthcare"", ""Travel""]","[""D00315"", ""D00316""]",Delhi,evening_shopper,18,22,1.6
C0211,high,5421.23,1897.43,"[""M0021"", ""M0068"", ""M0046""]","[""Healthcare"", ""Food Delivery""]","[""D00317""]",Hyderabad,lunch_shopper,12,15,2.8
C0212,high,6423.53,2248.24,"[""M0124"", ""M0092"", ""M0086"", ""M0108"", ""M0054""]","[""Fuel"", ""Grocery"", ""Entertainment"", ""Food Delivery""]","[""D00318"", ""D00319"", ""D00320""]",Mumbai,lunch_shopper,12,15,3.6
C0213,low,316.22,110.68,"[""M0123"", ""M0039"", ""M0044"", ""M0014"", ""M0050"", ""M0075"", ""M0146"", ""M0060"", ""M0109""]","[""Food Delivery"", ""Utilities"", ""Travel"", ""Grocery""]","[""D00321""]",Pune,lunch_shopper,12,15,7.2
C0214,medium,1724.71,603.65,"[""M0100"", ""M0113"", ""M0112"", ""M0021"", ""M0097"", ""M0052"", ""M0054"", ""M0074"", ""M0085""]","[""Grocery"", ""Healthcare"", ""Entertainment"", ""Food Delivery""]","[""D00322""]",Chennai,night_owl,21,24,7.7
C0215,low,520.38,182.13,"[""M0130"", ""M0135"", ""M0094"", ""M0115""]","[""Electronics"", ""Healthcare""]","[""D00323"", ""D00324""]",Chennai,night_owl,21,24,4.0
C0216,low,355.17,124.31,"[""M0093"", ""M0105"", ""M0078"", ""M0026"", ""M0115"", ""M0074"", ""M0036""]","[""Fashion"", ""Healthcare"", ""Food Delivery""]","[""D00325"", ""D00326""]",Ahmedabad,morning_person,7,11,1.6
C0217,low,503.44,176.2,"[""M0058"", ""M0006"", ""M0048"", ""M0135"", ""M0095""]","[""E-commerce"", ""Electronics"", ""Entertainment""]","[""D00327""]",Ahmedabad,evening_shopper,18,22,2.2
C0218,low,443.96,155.39,"[""M0094"", ""M0082"", ""M0027"", ""M0001"", ""M0123"", ""M0054""]","[""Electronics"", ""Fuel"", ""Food Delivery""]","[""D00328""]",Bangalore,lunch_shopper,12,15,6.0
C0219,low,454.43,159.05,"[""M0120"", ""M0024""]","[""Electronics"", ""E-commerce""]","[""D00329""]",Hyderabad,lunch_shopper,12,15,1.4
C0220,low,433.45,151.71,"[""M0128"", ""M0145"", ""M0037"", ""M0005"", ""M0029""]","[""E-commerce"", ""Utilities"", ""Fuel""]","[""D00330""]",Ahmedabad,night_owl,21,24,2.1
C0221,low,639.62,223.87,"[""M0149"", ""M0065"", ""M0059""]","[""Electronics"", ""Fuel""]","[""D00331"", ""D00332"", ""D00333""]",Hyderabad,lunch_shopper,12,15,8.2
C0222,low,301.97,105.69,"[""M0010"", ""M0055"", ""M0038"", ""M0048"", ""M0130"", ""M0135"", ""M0144"", ""M0122"", ""M0085""]","[""Entertainment"", ""Electronics"", ""E-commerce"", ""Food Delivery""]","[""D00334"", ""D00335""]",Mumbai,lunch_shopper,12,15,4.1
C0223,low,288.99,101.15,"[""M0102"", ""M0052"", ""M0038"", ""M0094"", ""M0138""]","[""Entertainment"", ""Electronics""]","[""D00336""]",Delhi,lunch_shopper,12,15,8.9
C0224,low,520.17,182.06,"[""M0007"", ""M0148"", ""M0130"", ""M0087"", ""M0142"", ""M0108"", ""M0046"", ""M0080"", ""M0013"", ""M0098""]","[""Electronics"", ""Fashion"", ""Food Delivery"", ""Grocery""]","[""D00337""]",Kolkata,night_owl,21,24,15.9
C0225,low,509.19,178.22,"[""M0008"", ""M0042"", ""M0099"", ""M0118""]","[""Healthcare"", ""Electronics""]","[""D00338""]",Chennai,night_owl,21,24,5.6
C0226,medium,1579.81,552.93,"[""M0003"", ""M0002"", ""M0020"", ""M0008"", ""M0138"", ""M0062"", ""M0028""]","[""Entertainment"", ""Healthcare"", ""Electronics"", ""E-commerce""]","[""D00339"", ""D00340""]",Chennai,night_owl,21,24,4.6
C0227,medium,2603.49,911.22,"[""M0012"", ""M0065"", ""M0146"", ""M0114""]","[""Electronics"", ""Travel"", ""Entertainment""]","[""D00341"", ""D00342"", ""D00343""]",Hyderabad,lunch_shopper,12,15,8.2
C0228,low,520.7,182.25,"[""M0096"", ""M0049"", ""M0014"", ""M0012"", ""M0039"", ""M0085""]","[""Utilities"", ""Electronics"", ""Food Delivery""]","[""D00344"", ""D00345""]",Hyderabad,morning_person,7,11,3.6
C0229,low,366.18,128.16,"[""M0102"", ""M0019"", ""M0030"", ""M0062"", ""M0124"", ""M0111"", ""M0034""]","[""Entertainment"", ""Electronics"", ""E-commerce"", ""Fuel""]","[""D00346""]",Delhi,lunch_shopper,12,15,3.0
C0230,low,1055.33,369.37,"[""M0054"", ""M0108"", ""M0065"", ""M0064"", ""M0069"", ""M0009"", ""M0055"", ""M0072""]","[""Food Delivery"", ""Electronics"", ""E-commerce"", ""Entertainment""]","[""D00347""]",Kolkata,evening_shopper,18,22,4.9
C0231,low,469.94,164.48,"[""M0086"", ""M0111"", ""M0005"", ""M0029"", ""M0125"", ""M0011"", ""M0014"", ""M0040""]","[""Entertainment"", ""Fuel"", ""Utilities"", ""Healthcare""]","[""D00348""]",Delhi,morning_person,7,11,2.3
C0232,low,636.3,222.7,"[""M0114"", ""M0102"", ""M0095"", ""M0049"", ""M0077"", ""M0053""]","[""Entertainment"", ""Utilities"", ""E-commerce""]","[""D00349""]",Ahmedabad,evening_shopper,18,22,1.0
C0233,low,334.11,116.94,"[""M0125"", ""M0001"", ""M0027"", ""M0029""]","[""Utilities"", ""Fuel""]","[""D00350""]",Mumbai,morning_person,7,11,0.8
C0234,medium,1368.92,479.12,"[""M0042"", ""M0021"", ""M0085"", ""M0036"", ""M0074""]","[""Healthcare"", ""Food Delivery""]","[""D00351""]",Delhi,lunch_shopper,12,15,2.7
